Pecha ID,Title,Author,Source ID,Language,Initial Creation Type,Imported Date
I961F22EB,"{'bo': 'དགོངས་པ་རབ་གསལ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤', 'en': 'Illuminating the Intent Chapter 6, verses 1 to 64'}","{'bo': 'ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།', 'en': 'Tsongkhapa Lobzang Drakpa'}",,en,google_docx,2025-02-04 10:58:07.406141
I961F22EB,"{'bo': 'དགོངས་པ་རབ་གསལ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤', 'en': 'Illuminating the Intent Chapter 6, verses 1 to 64'}","{'bo': 'ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།', 'en': 'Tsongkhapa Lobzang Drakpa'}",,en,google_docx,2025-02-04 10:59:08.119682
I961F22EB,"{'bo': 'དགོངས་པ་རབ་གསལ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤', 'en': 'Illuminating the Intent Chapter 6, verses 1 to 64'}","{'bo': 'ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།', 'en': 'Tsongkhapa Lobzang Drakpa'}",,en,google_docx,2025-02-04 11:11:17.689510
I961F22EB,"{'bo': 'དགོངས་པ་རབ་གསལ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤', 'en': 'Illuminating the Intent Chapter 6, verses 1 to 64'}","{'bo': 'ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།', 'en': 'Tsongkhapa Lobzang Drakpa'}",,en,google_docx,2025-02-04 11:12:46.982277
I961F22EB,"{'bo': 'དགོངས་པ་རབ་གསལ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤', 'en': 'Illuminating the Intent Chapter 6, verses 1 to 64'}","{'bo': 'ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།', 'en': 'Tsongkhapa Lobzang Drakpa'}",,en,google_docx,2025-02-04 11:17:24.474843
I961F22EB,"{'bo': 'དགོངས་པ་རབ་གསལ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤', 'en': 'Illuminating the Intent Chapter 6, verses 1 to 64'}","{'bo': 'ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།', 'en': 'Tsongkhapa Lobzang Drakpa'}",,en,google_docx,2025-02-04 11:19:39.136898
I41B73129,{'BO': 'དབུ་མ་འཇུག་པ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤'},"{'BO': 'ཟླ་བ་གྲགས་པ།', 'EN': 'Candrakirti'}",,bo,google_docx,2025-01-30 15:15:22.366330
ICC9E056C,"{'BO': 'དབུ་མ་འཇུག་པ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤', 'EN': 'None', 'ZH': 'मध्यमकावतार-कारिका 6 -1-64'}","{'BO': 'སློབ་དཔོན་ཟླ་བ་གྲགས་པ།', 'EN': 'Chandrakriti', 'ZH': 'चन्द्रकीर्तिः'}",,sa,google_docx,2025-02-04 12:50:59.007987
I3E896905,"{'BO': 'དབུ་མ་འཇུག་པ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤', 'EN': 'None', 'ZH': '入中論第六菩提心現前地  今當別說世間世俗諦'}","{'BO': 'ཟླ་བ་གྲགས་པ།', 'EN': 'Candrak Irti', 'ZH': '月稱'}",,zh,google_docx,2025-02-04 13:02:49.277432
ICBA8A398,{'BO': 'དབུ་མ་འཇུག་པ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤'},"{'BO': 'ཟླ་བ་གྲགས་པ།', 'EN': 'Candrakirti'}",,bo,google_docx,2025-02-04 14:00:39.560894
I58524400,{'BO': 'དགོངས་པ་རབ་གསལ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤'},"{'BO': 'ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།', 'EN': 'Tsongkhapa Lobzang Drakpa'}",,bo,google_docx,2025-02-04 14:10:33.590345
I496E191E,{'BO': 'དགོངས་པ་རབ་གསལ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤'},"{'BO': 'ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།', 'EN': 'Tsongkhapa Lobzang Drakpa'}",,bo,google_docx,2025-02-04 14:18:39.243228
